
Root grid = 16 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 4 (5 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=4.952822e+02 cycle=77900 time=6.641099e+00 dt=8.933407e-05
elapsed=4.978302e+02 cycle=78000 time=6.650058e+00 dt=9.007470e-05
elapsed=5.004312e+02 cycle=78100 time=6.659016e+00 dt=8.842962e-05
elapsed=5.030759e+02 cycle=78200 time=6.667724e+00 dt=8.558948e-05
elapsed=5.057904e+02 cycle=78300 time=6.676053e+00 dt=8.082556e-05
elapsed=5.082849e+02 cycle=78400 time=6.684200e+00 dt=8.223874e-05
elapsed=5.109446e+02 cycle=78500 time=6.692588e+00 dt=8.548719e-05
elapsed=5.135417e+02 cycle=78600 time=6.701231e+00 dt=8.747637e-05
elapsed=5.163024e+02 cycle=78700 time=6.709873e+00 dt=8.554598e-05
elapsed=5.188838e+02 cycle=78800 time=6.718352e+00 dt=8.440821e-05
elapsed=5.213042e+02 cycle=78900 time=6.726876e+00 dt=8.607023e-05
elapsed=5.237389e+02 cycle=79000 time=6.735367e+00 dt=8.340290e-05
elapsed=5.261507e+02 cycle=79100 time=6.743598e+00 dt=8.157453e-05
elapsed=5.286394e+02 cycle=79200 time=6.751879e+00 dt=8.337955e-05
elapsed=5.311735e+02 cycle=79300 time=6.760248e+00 dt=8.249180e-05
elapsed=5.335391e+02 cycle=79400 time=6.768540e+00 dt=8.490315e-05
elapsed=5.359264e+02 cycle=79500 time=6.777233e+00 dt=8.758408e-05
elapsed=5.386055e+02 cycle=79600 time=6.785991e+00 dt=8.741111e-05
elapsed=5.415137e+02 cycle=79700 time=6.794774e+00 dt=8.707096e-05
elapsed=5.440109e+02 cycle=79800 time=6.803417e+00 dt=8.548591e-05
elapsed=5.463982e+02 cycle=79900 time=6.811924e+00 dt=8.418825e-05
elapsed=5.487413e+02 cycle=80000 time=6.820037e+00 dt=8.100014e-05
elapsed=5.511290e+02 cycle=80100 time=6.828424e+00 dt=8.399628e-05
elapsed=5.535802e+02 cycle=80200 time=6.836791e+00 dt=8.306635e-05
elapsed=5.560197e+02 cycle=80300 time=6.844981e+00 dt=8.096326e-05
elapsed=5.585310e+02 cycle=80400 time=6.853057e+00 dt=8.175041e-05
elapsed=5.611560e+02 cycle=80500 time=6.861216e+00 dt=8.087511e-05
elapsed=5.634931e+02 cycle=80600 time=6.869219e+00 dt=7.870211e-05
elapsed=5.657655e+02 cycle=80700 time=6.876961e+00 dt=7.682677e-05
elapsed=5.681565e+02 cycle=80800 time=6.884669e+00 dt=7.816319e-05
elapsed=5.705070e+02 cycle=80900 time=6.892230e+00 dt=7.374313e-05
elapsed=5.728117e+02 cycle=81000 time=6.899878e+00 dt=8.126516e-05
elapsed=5.752662e+02 cycle=81100 time=6.907932e+00 dt=7.810474e-05
elapsed=5.775309e+02 cycle=81200 time=6.915586e+00 dt=7.430469e-05
elapsed=5.797517e+02 cycle=81300 time=6.922893e+00 dt=7.294105e-05
elapsed=5.818983e+02 cycle=81400 time=6.930093e+00 dt=7.148070e-05
elapsed=5.841864e+02 cycle=81500 time=6.937223e+00 dt=7.012934e-05
elapsed=5.864112e+02 cycle=81600 time=6.944438e+00 dt=7.646287e-05
elapsed=5.887426e+02 cycle=81700 time=6.951908e+00 dt=7.538029e-05
elapsed=5.910771e+02 cycle=81800 time=6.959713e+00 dt=7.593443e-05
elapsed=5.933373e+02 cycle=81900 time=6.967326e+00 dt=7.702833e-05
elapsed=5.958372e+02 cycle=82000 time=6.975256e+00 dt=8.232197e-05
elapsed=5.982295e+02 cycle=82100 time=6.983590e+00 dt=8.078593e-05
elapsed=6.006875e+02 cycle=82200 time=6.991502e+00 dt=8.349792e-05
elapsed=6.032051e+02 cycle=82300 time=6.999671e+00 dt=7.937341e-05
elapsed=6.058933e+02 cycle=82400 time=7.007413e+00 dt=7.602864e-05
elapsed=6.081829e+02 cycle=82500 time=7.015348e+00 dt=7.937209e-05
elapsed=6.107383e+02 cycle=82600 time=7.023162e+00 dt=7.702047e-05
elapsed=6.131776e+02 cycle=82700 time=7.030945e+00 dt=8.338701e-05
elapsed=6.158221e+02 cycle=82800 time=7.039535e+00 dt=8.295667e-05
