
Root grid = 8 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 8
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=2.675306e+03 cycle=84300 time=7.114893e+00 dt=8.705280e-05
elapsed=2.685972e+03 cycle=84400 time=7.123558e+00 dt=8.655537e-05
elapsed=2.696648e+03 cycle=84500 time=7.132238e+00 dt=8.696783e-05
elapsed=2.707353e+03 cycle=84600 time=7.141023e+00 dt=8.825030e-05
elapsed=2.718035e+03 cycle=84700 time=7.149714e+00 dt=8.480743e-05
elapsed=2.728735e+03 cycle=84800 time=7.158028e+00 dt=8.281594e-05
elapsed=2.739451e+03 cycle=84900 time=7.166516e+00 dt=8.663126e-05
elapsed=2.750192e+03 cycle=85000 time=7.175197e+00 dt=8.659231e-05
elapsed=2.760925e+03 cycle=85100 time=7.183765e+00 dt=8.678562e-05
elapsed=2.771657e+03 cycle=85200 time=7.192370e+00 dt=8.504441e-05
elapsed=2.782387e+03 cycle=85300 time=7.200870e+00 dt=8.538936e-05
elapsed=2.793100e+03 cycle=85400 time=7.209373e+00 dt=8.461846e-05
elapsed=2.803849e+03 cycle=85500 time=7.217773e+00 dt=8.319347e-05
elapsed=2.814614e+03 cycle=85600 time=7.226053e+00 dt=8.202032e-05
elapsed=2.825374e+03 cycle=85700 time=7.234207e+00 dt=8.158889e-05
elapsed=2.836131e+03 cycle=85800 time=7.242348e+00 dt=8.129137e-05
elapsed=2.846901e+03 cycle=85900 time=7.250489e+00 dt=8.173030e-05
elapsed=2.857650e+03 cycle=86000 time=7.258720e+00 dt=8.302887e-05
elapsed=2.868437e+03 cycle=86100 time=7.267081e+00 dt=8.446068e-05
elapsed=2.879216e+03 cycle=86200 time=7.275616e+00 dt=8.535782e-05
elapsed=2.890000e+03 cycle=86300 time=7.284174e+00 dt=8.562454e-05
elapsed=2.900787e+03 cycle=86400 time=7.292649e+00 dt=8.364588e-05
elapsed=2.911584e+03 cycle=86500 time=7.301012e+00 dt=8.489202e-05
elapsed=2.922357e+03 cycle=86600 time=7.309366e+00 dt=8.022268e-05
elapsed=2.933166e+03 cycle=86700 time=7.317340e+00 dt=7.951123e-05
elapsed=2.943969e+03 cycle=86800 time=7.325471e+00 dt=8.295206e-05
elapsed=2.954784e+03 cycle=86900 time=7.334116e+00 dt=9.003199e-05
elapsed=2.965600e+03 cycle=87000 time=7.342969e+00 dt=8.754089e-05
elapsed=2.976415e+03 cycle=87100 time=7.351723e+00 dt=8.755355e-05
elapsed=2.987231e+03 cycle=87200 time=7.360415e+00 dt=8.731775e-05
elapsed=2.998029e+03 cycle=87300 time=7.369152e+00 dt=8.654803e-05
elapsed=3.008851e+03 cycle=87400 time=7.377885e+00 dt=8.952690e-05
elapsed=3.019671e+03 cycle=87500 time=7.386723e+00 dt=8.648660e-05
elapsed=3.030496e+03 cycle=87600 time=7.395267e+00 dt=8.387198e-05
elapsed=3.041339e+03 cycle=87700 time=7.403614e+00 dt=8.245328e-05
elapsed=3.052176e+03 cycle=87800 time=7.411901e+00 dt=8.316950e-05
elapsed=3.063018e+03 cycle=87900 time=7.420155e+00 dt=8.182395e-05
elapsed=3.073841e+03 cycle=88000 time=7.428216e+00 dt=7.954179e-05
elapsed=3.084689e+03 cycle=88100 time=7.436193e+00 dt=7.602392e-05
elapsed=3.095546e+03 cycle=88200 time=7.443461e+00 dt=7.903429e-05
elapsed=3.106434e+03 cycle=88300 time=7.452244e+00 dt=8.909001e-05
elapsed=3.117332e+03 cycle=88400 time=7.461139e+00 dt=8.828868e-05
elapsed=3.128186e+03 cycle=88500 time=7.469704e+00 dt=8.056035e-05
elapsed=3.139069e+03 cycle=88600 time=7.477799e+00 dt=8.456527e-05
elapsed=3.149958e+03 cycle=88700 time=7.486075e+00 dt=8.087902e-05
elapsed=3.160847e+03 cycle=88800 time=7.494094e+00 dt=7.983543e-05
